start_station_name,ridecount
Streeter Dr & Grand Ave,36482
Lake Shore Dr & Monroe St,28034
Millennium Park,25185
Theater on the Lake,18454
Michigan Ave & Oak St,18346
Lake Shore Dr & North Blvd,17193
Indiana Ave & Roosevelt Rd,16389
Michigan Ave & Lake St,14309
Clark St & Elm St,13977
Shedd Aquarium,13719
Michigan Ave & Washington St,13331
Buckingham Fountain,12910
Wells St & Concord Ln,12536
Clark St & Lincoln Ave,12481
Wabash Ave & Grand Ave,12277
Clark St & Armitage Ave,12106
Michigan Ave & 8th St,12061
Columbus Dr & Randolph St,11591
Fairbanks Ct & Grand Ave,11192
Wells St & Elm St,11159
Dusable Harbor,10866
Wells St & Evergreen Ave,10568
Lake Shore Dr & Belmont Ave,10409
Lake Shore Dr & Wellington Ave,10372
Dearborn St & Erie St,10348
Lakeview Ave & Fullerton Pkwy,10211
Wabash Ave & Roosevelt Rd,10189
Lake Shore Dr & Diversey Pkwy,10096
Wells St & Huron St,9992
Larrabee St & Webster Ave,9912
Broadway & Barry Ave,9861
Wabash Ave & Wacker Pl,9860
Lake Shore Dr & Ohio St,9011
Wilton Ave & Belmont Ave,8843
State St & Randolph St,8606
Dearborn Pkwy & Delaware Pl,8579
LaSalle St & Illinois St,8537
Wabash Ave & 9th St,8493
Adler Planetarium,8479
Stockton Dr & Wrightwood Ave,8347
Montrose Harbor,8185
State St & Kinzie St,8127
Rush St & Cedar St,8093
Lakefront Trail & Bryn Mawr Ave,8027
Desplaines St & Kinzie St,7984
Lincoln Park Conservatory,7924
Clark St & Drummond Pl,7888
Pine Grove Ave & Waveland Ave,7853
Sheffield Ave & Waveland Ave,7807
Lincoln Ave & Fullerton Ave,7762
Clark St & Wrightwood Ave,7737
Halsted St & Roscoe St,7710
Broadway & Cornelia Ave,7696
Michigan Ave & Pearson St,7628
Wells St & Hubbard St,7600
Shore Dr & 55th St,7532
Damen Ave & Pierce Ave,7389
Kingsbury St & Kinzie St,7326
St. Clair St & Erie St,7298
Clark St & Newport St,7225
Ashland Ave & Division St,7222
Fort Dearborn Dr & 31st St,7209
Clark St & Schiller St,7207
Rush St & Superior St,7192
Mies van der Rohe Way & Chestnut St,7136
Bissell St & Armitage Ave,7118
McClurg Ct & Illinois St,6931
Clark St & North Ave,6601
Clark St & Wellington Ave,6590
Southport Ave & Roscoe St,6576
Green St & Madison St,6470
Michigan Ave & Jackson Blvd,6350
Federal St & Polk St,6266
Broadway & Waveland Ave,6228
Sheffield Ave & Wrightwood Ave,6216
Clark St & Lake St,6187
Cityfront Plaza Dr & Pioneer Ct,6186
Clark St & Grace St,6118
Sheffield Ave & Webster Ave,6048
Southport Ave & Waveland Ave,6024
Broadway & Belmont Ave,6021
McClurg Ct & Erie St,6013
Pine Grove Ave & Irving Park Rd,5973
Sheffield Ave & Wellington Ave,5948
Green St & Randolph St,5874
Wilton Ave & Diversey Pkwy,5804
Halsted St & Wrightwood Ave,5781
Cannon Dr & Fullerton Ave,5781
Morgan St & Lake St,5580
Sedgwick St & North Ave,5511
Daley Center Plaza,5471
Milwaukee Ave & Grand Ave,5465
Sheridan Rd & Montrose Ave,5372
Franklin St & Jackson Blvd,5299
Dearborn St & Monroe St,5292
Wabash Ave & Adams St,5286
Halsted St & Dickens Ave,5283
Ritchie Ct & Banks St,5261
Clark St & Chicago Ave,5229
LaSalle Dr & Huron St,5225
Field Blvd & South Water St,5175
Wood St & Milwaukee Ave,5170
Michigan Ave & 14th St,5089
Clinton St & Madison St,5086
Kingsbury St & Erie St,5082
Mies van der Rohe Way & Chicago Ave,5050
Michigan Ave & Madison St,5025
Racine Ave & Belmont Ave,4847
Halsted St & Clybourn Ave,4838
Marine Dr & Ainslie St,4776
Kedzie Ave & Milwaukee Ave,4755
Franklin St & Illinois St,4720
Franklin St & Lake St,4707
Clark St & Randolph St,4624
Sedgwick St & Webster Ave,4575
Clarendon Ave & Junior Ter,4543
State St & Pearson St,4539
Honore St & Division St,4537
Sheridan Rd & Irving Park Rd,4458
Broadway & Sheridan Rd,4413
Wells St & Polk St,4411
State St & Harrison St,4400
Stetson Ave & South Water St,4392
Lincoln Ave & Diversey Pkwy,4328
Milwaukee Ave & Wabansia Ave,4312
Sheffield Ave & Fullerton Ave,4213
Burnham Harbor,4176
Damen Ave & Cortland St,4170
Michigan Ave & 18th St,4167
Lakefront Trail & Wilson Ave,4155
Clarendon Ave & Gordon Ter,4078
Michigan Ave & Ida B Wells Dr,4017
Desplaines St & Randolph St,4011
Franklin St & Monroe St,3984
Kimbark Ave & 53rd St,3981
Cornell Ave & Hyde Park Blvd,3877
Orleans St & Merchandise Mart Plaza,3868
Peoria St & Jackson Blvd,3836
Clinton St & Lake St,3834
Franklin St & Chicago Ave,3820
Southport Ave & Wellington Ave,3819
Broadway & Granville Ave,3807
California Ave & Milwaukee Ave,3775
Clark St & Berwyn Ave,3772
Larrabee St & Division St,3756
Southport Ave & Wrightwood Ave,3723
New St & Illinois St,3708
Greenview Ave & Fullerton Ave,3669
Larrabee St & Armitage Ave,3624
Rush St & Hubbard St,3604
Southport Ave & Belmont Ave,3576
Dayton St & North Ave,3573
Field Museum,3559
Ashland Ave & Blackhawk St,3539
Sheffield Ave & Kingsbury St,3526
Halsted St & Willow St,3522
Wells St & Walton St,3413
Calumet Ave & 18th St,3410
Sheffield Ave & Willow St,3384
Racine Ave & Fullerton Ave,3374
Lincoln Ave & Belmont Ave,3369
Orleans St & Chestnut St (NEXT Apts),3360
Damen Ave & Chicago Ave,3338
Clifton Ave & Armitage Ave,3333
Paulina Ave & North Ave,3325
Lake Park Ave & 53rd St,3307
State St & Van Buren St,3244
Lake Park Ave & 35th St,3184
Ellis Ave & 60th St,3167
Eckhart Park,3139
Lincoln Ave & Roscoe St,3139
Canal St & Adams St,3109
Wabash Ave & 16th St,3101
Desplaines St & Jackson Blvd,3099
Sedgwick St & Huron St,3089
Damen Ave & Division St,3085
Sheridan Rd & Buena Ave,3064
Wentworth Ave & Cermak Rd,3018
Ogden Ave & Chicago Ave,2978
Noble St & Milwaukee Ave,2971
Broadway & Argyle St,2963
Carpenter St & Huron St,2922
Clark St & Winnemac Ave,2877
Clarendon Ave & Leland Ave,2866
Broadway & Thorndale Ave,2855
WATSON TESTING - DIVVY,2819
LaSalle St & Washington St,2810
Sangamon St & Washington Blvd,2799
Ravenswood Ave & Lawrence Ave,2773
Broadway & Berwyn Ave,2760
Sheridan Rd & Loyola Ave,2760
Clark St & 9th St (AMLI),2753
Ogden Ave & Race Ave,2737
Larrabee St & Kingsbury St,2733
Western Ave & Winnebago Ave,2727
Franklin St & Adams St (Temp),2727
Aberdeen St & Jackson Blvd,2701
Marshfield Ave & Cortland St,2698
Aberdeen St & Randolph St,2689
Clark St & Leland Ave,2687
Museum of Science and Industry,2686
Canal St & Madison St,2662
LaSalle St & Jackson Blvd,2651
Jefferson St & Monroe St,2645
Dearborn St & Van Buren St,2640
Broadway & Wilson Ave,2620
Broadway & Ridge Ave,2600
Blackstone Ave & Hyde Park Blvd,2576
Lake Park Ave & 56th St,2564
Delano Ct & Roosevelt Rd,2562
Loomis St & Lexington St,2555
Burling St (Halsted) & Diversey Pkwy (Temp),2528
Clinton St & Roosevelt Rd,2522
Ashland Ave & Chicago Ave,2504
Clinton St & Washington Blvd,2485
University Ave & 57th St,2472
Ashland Ave & Wrightwood Ave,2471
Wacker Dr & Washington St,2459
Western Ave & Walton St,2427
Damen Ave & Thomas St (Augusta Blvd),2380
Humboldt Blvd & Armitage Ave,2357
Ada St & Washington Blvd,2349
Fairbanks St & Superior St,2348
Aberdeen St & Monroe St,2339
May St & Taylor St,2316
Sheridan Rd & Lawrence Ave,2303
Leavitt St & North Ave,2275
Racine Ave & Wrightwood Ave,2260
Larrabee St & North Ave,2259
Orleans St & Hubbard St,2248
MLK Jr Dr & 29th St,2246
Damen Ave & Charleston St,2222
Chicago Ave & Sheridan Rd,2212
Southport Ave & Irving Park Rd,2197
Benson Ave & Church St,2179
Ellis Ave & 55th St,2172
Campbell Ave & North Ave,2157
Southport Ave & Clybourn Ave,2153
Ashland Ave & Grand Ave,2107
Ashland Ave & Grace St,2087
Greenview Ave & Diversey Pkwy,2077
Halsted St & Maxwell St,2061
Woodlawn Ave & 55th St,2059
Dearborn St & Adams St,2054
Winthrop Ave & Lawrence Ave,2007
Logan Blvd & Elston Ave,1992
Seeley Ave & Roscoe St,1988
Rhodes Ave & 32nd St,1936
Clybourn Ave & Division St,1931
Canal St & Taylor St,1926
63rd St Beach,1923
California Ave & North Ave,1921
Western Ave & Division St,1908
Racine Ave & 18th St,1896
Ashland Ave & Augusta Blvd,1895
Sedgwick St & Schiller St,1884
Leavitt St & Armitage Ave,1882
Ellis Ave & 53rd St,1868
Glenwood Ave & Morse Ave,1866
Burling St & Diversey Pkwy,1856
Clark St & Bryn Mawr Ave,1847
Financial Pl & Ida B Wells Dr,1841
Walsh Park,1837
Blue Island Ave & 18th St,1817
Kedzie Ave & Palmer Ct,1813
Paulina St & Flournoy St,1809
Clark St & Montrose Ave,1791
Lake Park Ave & 47th St,1783
Larrabee St & Oak St,1768
Cottage Grove Ave & Oakwood Blvd,1768
Lincoln Ave & Waveland Ave,1743
Sheridan Rd & Noyes St (NU),1733
Lincoln Ave & Belle Plaine Ave,1719
Wood St & Augusta Blvd,1712
Milwaukee Ave & Rockwell St,1702
Troy St & North Ave,1681
Western Ave & Leland Ave,1675
Orleans St & Elm St,1674
California Ave & Division St,1669
Morgan St & 18th St,1665
Damen Ave & Wellington Ave,1661
California Ave & Cortez St,1659
Lincoln Ave & Sunnyside Ave,1652
Stave St & Armitage Ave,1642
Leavitt St & Chicago Ave,1635
Loomis St & Jackson Blvd,1633
Ashland Ave & Wellington Ave,1626
Central Park Ave & Bloomingdale Ave,1620
Larrabee St & Menomonee St,1608
Clinton St & Jackson Blvd,1607
Albany Ave & Bloomingdale Ave,1593
Wolcott (Ravenswood) Ave & Montrose Ave,1593
Sheridan Rd & Columbia Ave,1589
900 W Harrison St,1587
Clark St & Ida B Wells Dr,1569
Campbell Ave & Fullerton Ave,1563
California Ave & Francis Pl (Temp),1562
California Ave & Montrose Ave,1560
Sheridan Rd & Greenleaf Ave,1547
Damen Ave & Foster Ave,1547
Canal St & Monroe St,1540
Paulina St & 18th St,1517
Greenwood Ave & 47th St,1485
Racine Ave & Randolph St,1456
California Ave & Altgeld St,1432
Damen Ave & Leland Ave,1432
Ravenswood Ave & Irving Park Rd,1427
Morgan St & Polk St,1426
LaSalle St & Adams St,1425
Chicago Ave & Washington St,1421
State St & 19th St,1411
Ashland Ave & Lake St,1408
Elizabeth (May) St & Fulton St,1399
South Shore Dr & 67th St,1379
