start_station_name,ridelen
Kostner Ave & Lake St,919.4767441860472
Clyde Ave & 87th St,860.27103174603189
Kenton Ave & Madison St,752.54663299663332
Ashland Ave & 63rd St,741.42422480620121
Laramie Ave & Kinzie St,706.56164383561656
Ellis Ave & 83rd St,575.79029535864925
East End Ave & 87th St,520.57430555555493
Calumet Ave & 71st St,458.31709039548076
Carpenter St & 63rd St,407.42407407407404
Kedzie Ave & Roosevelt Rd,378.88888888888897
Cicero Ave & Flournoy St,345.02916666666738
South Chicago Ave & 83rd St,316.04083333333375
Western Ave & 111th St,316.0215447154464
Stony Island Ave & 82nd St,305.13070866141715
MLK Jr Dr & 63rd St,290.94765151515122
Cicero Ave & Lake St,267.63867684478407
Pulaski Rd & Congress Pkwy,259.245119047619
MLK Jr Dr & 83rd St,247.78333333333336
Bennett Ave & 79th St,247.35053763440823
Loomis Blvd & 84th St,225.02051282051255
Vernon Ave & 79th St,222.97459677419377
Cottage Grove Ave & 83rd St,216.27988748241924
Evans Ave & 75th St,211.98897243107774
Cottage Grove Ave & 111th Pl,207.88722222222228
Torrence Ave & 106th St,205.02243589743588
Central Park Ave & Ogden Ave,201.87870090634419
Racine Ave & 65th St,201.30268817204308
Lincolnwood Dr & Central St,191.50423387096771
Vincennes Ave & 75th St,191.3299999999999
Sacramento Blvd & Franklin Blvd,188.51083333333338
Dodge Ave & Church St,187.6965768799102
Prairie Ave & Garfield Blvd,181.76746900072945
Elizabeth St & 92nd St,178.23108614232206
Central Park Blvd & 5th Ave,175.09251851851872
Halsted St & 73rd St,173.95912698412715
Halsted St & 63rd St,170.22651991614256
Central Ave & Madison St,167.03093434343407
State St & Pershing Rd,164.60745393634861
Conservatory Dr & Lake St,162.41023706896559
Chicago State University,161.02142857142857
Stony Island Ave & 71st St,156.48329317269057
California Ave & 23rd Pl,151.43840579710158
Jeffery Blvd & 76th St,151.33266129032239
California Ave & Lake St,149.32265861027201
Jeffery Blvd & 71st St,143.06150793650792
Central Ave & Harrison St,141.82898936170196
Wentworth Ave & Cermak Rd (Temp),134.48956043956036
Halsted St & 96th St,129.8186666666669
Perry Ave & 69th St,128.40356125356126
Woodlawn Ave & 75th St,127.53074074074067
Dodge Ave & Mulford St,123.33009153318073
Yates Blvd & 75th St,119.89830383480832
MLK Jr Dr & 47th St,119.0431932471265
Michigan Ave & 71st St,118.10314465408803
Phillips Ave & 83rd St,117.65738255033557
State St & 35th St,116.95288065843617
Halsted St & 59th St,116.18602150537629
Wolcott Ave & Fargo Ave,115.7252669039145
State St & 76th St,115.07222222222222
Austin Blvd & Madison St,114.82755208333343
State St & 29th St,112.08520992366404
Ashland Ave & 69th St,104.9635658914728
Woodlawn Ave & Lake Park Ave,104.82522366522367
Halsted St & 78th St,103.41352201257874
63rd St Beach,102.62802045415148
Halsted St & 56th St,101.16288888888877
Burnham Greenway & 105th St,98.9409282700422
DuSable Museum,98.5029761904761
Stony Island Ave & 67th St,97.167371323529409
Western & 28th - Velasquez Institute Vaccination Site,96.394871794871818
Karlov Ave & Madison St,96.314732142857224
Laramie Ave & Madison St,95.73630952380951
Central St & Girard Ave,93.776617375230984
South Shore Dr & 71st St,92.607884522076674
South Shore Dr & 67th St,91.706586898718854
Morgan St & 18th St,91.0626826826827
MLK Jr Dr & Pershing Rd,90.612870462870447
Vernon Ave & 75th St,90.483946078431345
Ashland Ave & 66th St,90.284333333333265
Kildare Ave & Montrose Ave,89.701415525114157
Central Ave & Lake St,89.6474774774775
Calumet Ave & 33rd St,89.380783966990847
Cherry Ave & Blackhawk St,89.009154929577477
Winchester (Ravenswood) Ave & Balmoral Ave,87.877688172043037
Rainbow Beach,87.7596978557504
LaSalle St & Adams St,86.966374269005911
Pulaski Rd & Lake St,85.726401179941021
Spaulding Ave & Division St,85.295366132723075
Stewart Ave & 83rd St,85.223809523809535
Blackstone Ave & Hyde Park Blvd,84.935507246376773
Cottage Grove Ave & Oakwood Blvd,84.923416289592865
State St & Randolph St,84.9183011852196
Summit Ave & 86th St,84.5214285714286
Cottage Grove Ave & 43rd St,83.770691823899355
Central Park Ave & Elbridge Ave,83.641891891891859
California Ave & 21st St,83.496498226950322
Leavitt St & Archer Ave,83.455748456790047
Knox Ave & Montrose Ave,82.946158612143762
2112 W Peterson Ave,82.2109950248756
Wabash Ave & 87th St,81.8492890995261
Cottage Grove Ave & 47th St,81.796836158192065
Ewing Ave & Burnham Greenway,81.315053763440844
Cicero Ave & Quincy St,80.847395833333337
Wood St & 35th St,80.617594740912622
Wabash Ave & Cermak Rd,80.160260770975043
Western Ave & Granville Ave,80.126272814601364
Kedzie Ave & 21st St,79.942178770949681
Stewart Ave & 63rd St,79.759360730593556
Central St Metra,79.243439716312025
Ridge Blvd & Touhy Ave,79.0348909657321
Kedzie Ave & Harrison St,78.785057471264338
Eggleston Ave & 69th St,78.062103174603223
Kedzie Ave & Chicago Ave,77.9296918767507
Warren Park East,77.854702380952389
Ashland Ave & 13th St,76.073193277310963
State St & Van Buren St,75.600020550760334
Troy St & Elston Ave,74.784247448979571
Indiana Ave & 31st St,74.686185630589009
Lake Park Ave & 35th St,74.530742252931248
California Ave & Division St,74.377591372078982
Racine Ave & 61st St,74.1774193548386
Halsted St & 111th St,74.077777777777868
Eberhart Ave & 61st St,73.4510212418301
St. Louis Ave & Balmoral Ave,73.356449044585943
Latrobe Ave & Chicago Ave,73.201010101010183
Millennium Park,72.819998676460642
Austin Blvd & Lake St,72.62271386430676
Greenwood Ave & 97th St,72.575547445255523
Buckingham Fountain,72.526553059643632
Delano Ct & Roosevelt Rd,71.7932995055946
Cornell Ave & Hyde Park Blvd,71.7617100851173
Central Ave & Chicago Ave,71.583676975945
Prospect Sq & 91st St,71.428333333333342
Oglesby Ave & 100th St,70.383108108108075
May St & 69th St,69.915432098765436
California Ave & Francis Pl (Temp),69.363711054204
Damen Ave & Clybourn Ave,69.297016229712881
Woodlawn Ave & 55th St,69.221458636878779
Michigan Ave & Ida B Wells Dr,69.066384532403973
