start_station_name,ridelen
W Oakdale Ave & N Broadway,203.77357456140362
Racine Ave & 61st St,147.83333333333334
Marshfield Ave & 59th St,102.6333333333335
Kenton Ave & Madison St,99.88684210526317
California Ave & Lake St,94.3446988973707
Cherry Ave & Blackhawk St,73.14604810996579
Kedzie Ave & Foster Ave,70.427875399361028
Warren Park West,66.471305031446562
Eberhart Ave & 131st St,62.65
Western Ave & Granville Ave,61.625928677563124
Laramie Ave & Kinzie St,60.494230769230739
Torrence Ave & 106th St,55.9166666666667
Central St & Girard Ave,54.673752834467109
Wood St & Taylor St (Temp),50.813079686479483
Torrence Ave & 126th Pl,50.5666666666667
Wentworth Ave & 63rd St,47.691212121212054
State St & 79th St,44.90196078431368
State St & 123rd St,44.403333333333336
Glenwood Ave & Touhy Ave,44.291941718703541
Avers Ave & Belmont Ave,44.215642458100533
State St & 35th St,43.961356628982493
Halsted St & 63rd St,40.75766283524905
Cottage Grove Ave & 111th Pl,40.502083333333367
Homewood Ave & 115th St,40.414999999999985
Ashland Ave & 73rd St,39.15
Kedzie Ave & 110th St,39.15
MLK Jr Dr & 63rd St,38.789444444444449
Austin Blvd & Madison St,36.843274853801177
Summit Ave & 86th St,36.576666666666696
Dodge Ave & Mulford St,36.381232876712318
Ogden Ave & Roosevelt Rd,36.103593890386342
Albany Ave & Bloomingdale Ave,36.0761159107272
Exchange Ave & 79th St,35.409313725490186
Oglesby Ave & 100th St,35.3777777777778
Franklin St & Lake St,35.371888700785689
Damen Ave & Clybourn Ave,35.235030864197455
Kostner Ave & Adams St,35.169932432432425
Elizabeth St & 59th St,34.814814814814831
Throop St & Taylor St,34.511457437661193
State St & 19th St,34.4009169054441
Greenwood Ave & 97th St,34.341176470588252
Cottage Grove Ave & 71st St,34.315686274509794
MLK Jr Dr & 83rd St,34.274000000000008
Eastlake Ter & Rogers Ave,33.680212732676367
Dauphin Ave & 103rd St,33.661111111111133
Winthrop Ave & Lawrence Ave,33.396326467875753
Lake Park Ave & 35th St,32.845646406174637
Central Ave & Madison St,32.817399267399274
Austin Blvd & Lake St,32.600460405156547
Washtenaw Ave & Lawrence Ave,32.585868312757214
Western Ave & Fillmore St,32.517174876205388
Albany Ave & 26th St,31.987365591397868
Laramie Ave & Gladys Ave,31.9731884057971
Dearborn St & Van Buren St,31.679938371715835
Major Taylor Trail & 115th St,31.587878787878779
Rainbow Beach,31.512273901808783
Altgeld Gardens,31.400000000000006
Calumet Ave & 18th St,31.247309519161934
Fairbanks St & Superior St,31.182855551647258
State St & Harrison St,31.167441973863816
Phillips Ave & 83rd St,31.136757990867594
Rockwell St & Eastwood Ave,31.055948844884487
Ashland Ave & 63rd St,30.959722222222211
State St & Van Buren St,30.720386949169388
South Shore Dr & 71st St,30.714308311763016
Carpenter St & 63rd St,30.683333333333326
Stony Island Ave & South Chicago Ave,30.556111111111136
