start_station_name,ridecount
Clark St & Elm St,23399
Wells St & Concord Ln,18154
Broadway & Barry Ave,17944
Dearborn St & Erie St,17689
St. Clair St & Erie St,17614
Theater on the Lake,17459
Kingsbury St & Kinzie St,17277
Wells St & Elm St,16937
Wells St & Huron St,16524
Lake Shore Dr & North Blvd,16013
Clark St & Armitage Ave,15949
Desplaines St & Kinzie St,15571
Clark St & Lincoln Ave,14430
Columbus Dr & Randolph St,14412
Lake Shore Dr & Wellington Ave,14407
Larrabee St & Webster Ave,14300
Clark St & Schiller St,13989
Dearborn Pkwy & Delaware Pl,13850
Broadway & Cornelia Ave,13775
Wabash Ave & Grand Ave,13731
Wabash Ave & Roosevelt Rd,13445
Kingsbury St & Erie St,12931
Clark St & Wrightwood Ave,12835
Clark St & Drummond Pl,12804
Broadway & Waveland Ave,12804
Lakeview Ave & Fullerton Pkwy,12580
Indiana Ave & Roosevelt Rd,12556
Wilton Ave & Belmont Ave,12363
Wells St & Evergreen Ave,12265
Lincoln Ave & Fullerton Ave,12246
Pine Grove Ave & Waveland Ave,12207
Clark St & Wellington Ave,12196
McClurg Ct & Erie St,12018
Fairbanks Ct & Grand Ave,11931
Green St & Madison St,11897
Lake Shore Dr & Diversey Pkwy,11869
Ashland Ave & Division St,11865
Wells St & Hubbard St,11653
Streeter Dr & Grand Ave,11596
Lake Shore Dr & Belmont Ave,11524
Clinton St & Madison St,11296
Burnham Harbor,11287
Halsted St & Roscoe St,11195
Lakefront Trail & Bryn Mawr Ave,11153
Lake Shore Dr & Monroe St,11122
Mies van der Rohe Way & Chicago Ave,10849
Mies van der Rohe Way & Chestnut St,10796
Stockton Dr & Wrightwood Ave,10749
Sheffield Ave & Wellington Ave,10666
Bissell St & Armitage Ave,10597
Michigan Ave & Oak St,10285
Halsted St & Clybourn Ave,10232
Dearborn St & Monroe St,10199
Montrose Harbor,10077
Southport Ave & Roscoe St,10075
Loomis St & Lexington St,10065
Federal St & Polk St,10062
Rush St & Cedar St,9805
Daley Center Plaza,9738
Milwaukee Ave & Grand Ave,9571
Broadway & Belmont Ave,9519
Southport Ave & Waveland Ave,9434
Rush St & Superior St,9335
Pine Grove Ave & Irving Park Rd,9318
Damen Ave & Pierce Ave,9300
Sheffield Ave & Kingsbury St,9274
Michigan Ave & Lake St,9257
Franklin St & Illinois St,9227
Halsted St & Dickens Ave,9220
LaSalle St & Illinois St,9118
Sheffield Ave & Waveland Ave,9068
Wabash Ave & 9th St,9037
Halsted St & Wrightwood Ave,8994
Wilton Ave & Diversey Pkwy,8940
Larrabee St & Kingsbury St,8827
Sheffield Ave & Willow St,8795
Clark St & Chicago Ave,8749
Sheffield Ave & Webster Ave,8727
Clinton St & Washington Blvd,8651
State St & Kinzie St,8641
Clinton St & Lake St,8618
Franklin St & Chicago Ave,8401
Desplaines St & Jackson Blvd,8376
Orleans St & Merchandise Mart Plaza,8348
Sheridan Rd & Montrose Ave,8326
Sheffield Ave & Wrightwood Ave,8256
Sedgwick St & Webster Ave,8238
Clark St & Newport St,8174
Peoria St & Jackson Blvd,8077
State St & Randolph St,8068
Clark St & Lake St,8067
Lake Shore Dr & Ohio St,8018
Ritchie Ct & Banks St,7975
Sedgwick St & Huron St,7971
Lincoln Ave & Diversey Pkwy,7941
Michigan Ave & 14th St,7920
Clarendon Ave & Gordon Ter,7816
Wolcott Ave & Polk St,7763
Sheridan Rd & Irving Park Rd,7755
Green St & Randolph St,7709
Sedgwick St & North Ave,7688
Franklin St & Lake St,7679
Michigan Ave & Washington St,7676
Morgan St & Lake St,7628
Wood St & Milwaukee Ave,7510
Clarendon Ave & Junior Ter,7502
Adler Planetarium,7488
Milwaukee Ave & Wabansia Ave,7484
Franklin St & Monroe St,7299
Broadway & Sheridan Rd,7269
Franklin St & Jackson Blvd,7228
Aberdeen St & Jackson Blvd,7202
Clark St & Grace St,7153
Racine Ave & Fullerton Ave,7133
Paulina St & Flournoy St,7115
Canal St & Adams St,7078
Clark St & Randolph St,6939
Larrabee St & Division St,6938
