z,y,x,ax,ay,az,gx,gy,gz,b,c
71,-4,11,-0.71,-1.88,9.43,14.33,107.45,10.74,2.57,248
71,-4,11,-0.92,-2.02,9.42,-10.74,125.36,-71.63,2.57,248
71,-4,11,-0.87,-2.07,9.43,-3.58,118.19,-75.21,2.56,248
71,-4,11,-0.90,-1.88,9.43,-10.74,93.12,-21.49,2.57,248
71,-4,11,-1.01,-1.90,9.43,-35.82,60.89,-114.61,2.56,248
71,-4,11,-0.70,-1.94,9.46,-68.05,28.65,-3.58,2.56,248
71,-4,12,-0.98,-2.11,9.43,-53.72,39.40,-46.56,2.57,248
71,-4,12,-1.13,-2.05,9.41,-50.14,-25.07,-28.65,2.56,248
71,-4,12,-1.03,-2.04,9.44,-60.89,-71.63,-75.21,2.57,248
71,-4,12,-0.77,-2.05,9.42,-75.21,-118.19,14.33,2.56,248
71,-4,12,-0.71,-2.22,9.39,-53.72,-121.78,-57.31,2.56,248
71,-4,12,-0.47,-2.28,9.41,-39.40,-128.94,75.21,2.56,248
71,-4,12,-0.56,-2.25,9.42,-3.58,-100.29,35.82,2.57,248
71,-3,12,-0.67,-1.59,9.50,100.29,128.94,64.47,2.56,248
71,-4,12,-0.68,-1.46,9.53,7.16,107.45,50.14,2.56,248
72,-4,12,-0.53,-1.94,9.44,-50.14,207.74,-265.04,2.57,248
72,-4,12,-0.18,-1.99,9.50,-78.80,229.23,-250.72,2.57,248
72,-4,12,-0.30,-2.35,9.40,14.33,401.15,-1142.55,2.56,248
73,-4,12,-0.62,-2.33,9.38,71.63,458.45,-1307.31,2.57,249
74,-4,12,-0.79,-2.70,9.34,82.38,440.54,-820.20,2.57,249
74,-4,12,-1.23,-2.70,9.32,143.27,386.82,-598.14,2.56,249
74,-4,12,-0.62,-2.35,9.42,132.52,275.79,293.70,2.56,249
74,-5,12,-1.07,-2.75,9.34,243.55,347.42,-164.76,2.57,249
74,-5,12,-0.72,-2.12,9.40,308.02,325.93,-146.85,2.57,249
75,-5,11,-0.45,-1.47,9.49,308.02,386.82,-236.39,2.56,249
75,-5,11,-1.10,-1.91,9.40,393.98,616.05,-1869.63,2.56,249
77,-5,11,-0.77,-1.67,9.46,433.38,659.03,-2467.77,2.56,249
79,-5,11,-0.46,-1.85,9.46,415.47,773.64,-2818.77,2.57,249
81,-6,11,-0.73,-2.16,9.45,454.87,895.42,-3237.82,2.56,249
83,-6,11,-0.68,-1.83,9.46,422.64,906.16,-2843.84,2.56,249
85,-6,11,-0.79,-2.11,9.42,379.66,913.32,-2489.26,2.56,249
86,-6,11,-1.47,-2.57,9.30,358.17,877.51,-1880.37,2.57,249
87,-6,11,-1.89,-2.41,9.31,393.98,748.57,-1389.68,2.57,249
88,-7,10,-2.18,-2.92,9.23,490.69,659.03,-1436.25,2.56,249
89,-7,10,-2.19,-2.05,9.32,641.12,522.92,-1622.49,2.56,249
90,-7,10,-2.40,-1.84,9.32,623.21,358.17,-1178.37,2.56,249
91,-7,10,-2.45,-1.60,9.36,512.18,75.21,-164.76,2.57,249
91,-7,9,-3.12,-0.65,9.42,426.22,-146.85,3.58,2.56,249
91,-7,9,-2.49,-0.63,9.45,308.02,-308.02,-601.72,2.56,249
92,-7,9,-1.67,0.54,9.65,436.96,-207.74,-3506.45,2.57,249
95,-6,9,-1.78,0.66,9.62,415.47,-3.58,-6038.68,2.57,249
101,-5,9,-0.57,-0.84,9.60,497.85,164.76,-8997.13,2.56,249
107,-4,10,0.55,-1.78,9.53,619.63,361.75,-10304.44,2.57,249
112,-3,10,1.48,-2.39,9.57,619.63,479.94,-9280.09,2.57,249
119,-3,10,1.40,-3.40,9.47,694.84,655.44,-8667.62,2.57,250
124,-2,9,-0.04,-3.17,9.40,813.04,752.15,-7303.01,2.57,250
127,-2,9,-0.38,-2.73,9.43,859.60,555.16,-4820.92,2.56,250
130,-2,9,-0.27,-2.85,10.86,752.15,268.62,-1737.11,2.57,250
130,-2,8,-0.42,-2.12,11.13,1053.01,68.05,-261.46,2.56,250
131,-2,7,0.70,-1.04,10.97,1418.34,32.23,-1837.39,2.56,250
132,-2,7,-0.13,-0.32,11.18,1339.54,171.92,-3037.25,2.56,250
134,-2,6,0.58,0.27,10.64,1142.55,75.21,-2718.48,2.57,250
136,-2,5,0.61,-0.59,10.32,805.87,50.14,-2292.26,2.57,250
137,-1,5,1.31,-0.83,10.05,723.50,100.29,-2825.93,2.57,250
139,-1,4,1.19,-0.69,8.81,594.56,186.25,-2679.08,2.56,250
141,-1,4,0.90,-1.24,8.66,522.92,272.21,-2818.77,2.57,250
143,-1,4,0.77,-0.89,8.06,494.27,300.86,-2933.38,2.57,250
145,-1,4,0.36,0.07,7.79,268.62,279.37,-2718.48,2.57,250
146,-2,4,0.56,-0.48,8.62,0.00,293.70,-3685.53,2.57,250
149,-1,4,-0.94,-1.46,9.71,-89.54,315.19,-5111.03,2.57,250
153,-1,4,-0.10,-1.76,9.33,-89.54,46.56,-6042.26,2.57,250
157,-1,4,0.54,-2.57,9.04,-146.85,-132.52,-4935.53,2.56,250
160,-1,4,0.77,-1.85,9.02,-42.98,-211.32,-4383.95,2.56,250
162,0,4,0.10,-1.32,10.36,-53.72,-161.17,-5351.00,2.57,250
