"z","y","x","ax","ay","az","gx","gy","gz","b","c"
358,0,-4,0.05,0.93,9.74,7.16,21.49,250.72,2.56,482
358,0,-4,-0.07,0.89,9.69,0,28.65,57.31,2.56,482
358,0,-4,-0.33,0.83,9.73,0,42.98,-232.81,2.57,482
358,0,-4,0,0.9,9.73,0,-42.98,265.04,2.56,482
358,0,-4,0.23,0.87,9.74,7.16,0,-42.98,2.56,482
358,0,-4,-0.21,0.82,9.73,-3.58,7.16,-121.78,2.56,482
358,0,-4,-0.02,0.83,9.75,-3.58,-17.91,118.19,2.57,482
358,0,-4,0.09,0.86,9.75,-3.58,-17.91,89.54,2.56,482
358,0,-4,0.04,0.81,9.74,-10.74,14.33,-35.82,2.56,482
358,0,-4,-0.04,0.83,9.73,-17.91,21.49,-57.31,2.56,482
358,0,-4,-0.02,0.82,9.74,10.74,-3.58,21.49,2.57,482
358,0,-4,0.02,0.81,9.75,-3.58,3.58,28.65,2.56,482
358,0,-4,0,0.86,9.7,-3.58,3.58,-28.65,2.57,482
358,0,-4,-0.01,0.85,9.74,0,7.16,-10.74,2.56,482
358,0,-4,0.01,0.82,9.74,-7.16,21.49,14.33,2.56,482
358,0,-4,0.01,0.83,9.71,0,0,-7.16,2.57,482
358,0,-4,-0.01,0.81,9.75,-7.16,-3.58,-17.91,2.56,482
358,0,-4,0,0.84,9.7,7.16,7.16,10.74,2.56,482
358,0,-4,0,0.86,9.72,-3.58,-3.58,7.16,2.56,482
358,0,-4,0,0.84,9.74,-7.16,3.58,-7.16,2.56,482
358,0,-4,0,0.84,9.74,3.58,0,3.58,2.56,482
358,0,-4,-0.11,6.8,10.48,-114.61,-14.33,-100.29,2.56,482
358,0,-4,-0.01,7.29,10.25,-702.01,-182.66,-891.83,2.56,483
358,0,-3,6.88,4.56,9.67,-1489.97,383.24,-744.99,2.56,483
359,0,-2,1.12,2.05,9.5,-1923.35,1221.35,-2550.14,2.56,483
1,-1,-1,0.79,0.19,9.34,-2045.13,1407.59,-4262.18,2.56,483
5,-2,0,1.09,-0.42,9.37,-2034.38,1500.72,-4645.42,2.56,483
8,-3,1,2.2,-3.96,9.16,-1561.6,1794.41,-5397.56,2.56,483
11,-4,2,-4.84,-1.92,9.43,-1253.58,2037.97,-9061.6,2.56,483
19,-5,3,0.19,-3.61,9.32,-823.78,1991.4,-13696.28,2.56,483
31,-5,5,-1.9,-3.62,9.4,-383.24,2292.26,-18946.99,2.56,483
44,-6,6,-1.14,-2.25,9.52,-78.8,2163.32,-20651.86,2.56,483
55,-5,7,-0.28,-0.33,9.67,-218.48,1909.03,-19315.9,2.57,483
